Fecha,canal_distribucion,chainStore,region_dsc,codeStore,tienda_dsc,categoria,mg,idProduct,upc,descripcion_producto,tipo_alerta,inventario_unidades,oportunidad_valor
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Bebidas,21572,07501058656353,GERBER2AETBebHidratanteSabCP6(4x175ml)MX,Inventario agotado,0,41.379307
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Felix Pouches,1668,07501072214478,FELIX Fantastic Deli con Atun 24x85g MX,Inventario agotado,0,136.38983
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Papillas 3A,77495,07506475115575,GERBER 3AET Yogurt Pera Plat 12x170g MX,Inventario sin venta,11,63.651722
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Natures Heart,Culinary Ingredients,4769,07862107784060,NH ALMENDRA REBANADA,Inventario sin venta,29,199.24138
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Nan Supreme,4404,07613287067135,NAN 2 SUPREME 5HMO 6x800g MX,Inventario sin venta,4,165.31035
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Cereales,4402,07613287014962,CERELAC BLProb Hierro+Cer+LecTrg12x1kgMX,Inventario sin venta,17,187.58618
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Especialidades,4330,07501058655493,NAN CONFORT Total2 HMO FI 12x900g N3 MX,Inventario sin venta,19,1726.138
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Especialidades,4331,07501058655776,NAN CONFORT Total 1 HMO FI Lata12x900gMX,Inventario sin venta,13,1031.2587
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,One,4493,07501072215093,ONE Adulto M/G Carne 4x3.5kg MX,Inventario sin venta,4,154.53687
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Nidal-Nido,Nidal,3196,07506475106801,NIDAL 1 Formula Infantil Bolsa8x120gN1MX,Inventario agotado,0,67.034485
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,One,4485,07501072214683,ONE Gato Adulto Carne 24x500g MX,Inventario agotado,0,22.115862
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Nan 3,4260,07501058623201,NAN 3 OPTIPRO FI HMO Lata 12x400g N1MX,Inventario agotado,0,213.51724
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Felix Pouches,4461,07501072209849,FELIX Salmon Salsa 24x85g MX,Inventario agotado,0,72.57182
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Especialidades,4329,07501058655455,NAN CONFORT Total3 HMO FI Lata 12x900gMX,Inventario sin venta,4,250.5
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Bebidas,1560,07501058637659,GERBER ETJNR Bebida Mango 20x200ml MX,Inventario sin venta,37,15.571551
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Especialidades,4935,07613033036941,NAN AR LR Formula Infantil 8x800g MX,Inventario sin venta,3,218
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Especialidades,4338,07501059278578,NAN Formula Infantil Prebio 24x400g MX,Inventario agotado,0,274.7586
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Nidal-Nido,Nidal,21608,07506475107174,NIDAL 2 Formula Infantil Lata6x1.5kgN1MX,Inventario agotado,0,1997.6676
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Cereales,4376,07613033150166,NESTUM Probioticos CI 8Cer 24x270g N2 XW,Inventario agotado,0,291.22006
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Nan 3,4260,07501058623201,NAN 3 OPTIPRO FI HMO Lata 12x400g N1MX,Inventario sin venta,22,220.6345
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Aguas,STM,1587,07501059235458,SANTA MARIA Agua MP 6x1L MX,Inventario sin venta,167,818.0608
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Nidal-Nido,Nidal,3191,07506475106153,NIDAL 1 Formula Infantil Lata 12x900g MX,Inventario sin venta,6,275.1931
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Chocolate Impulso,Carlos V,21600,07506475106191,CARLOSVChocSinAzrSemiamargoMP18(5x17g)MX,Inventario sin venta,30,298.1276
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Especialidades,4427,07501058625458,NAN FI Deslact WLReuteri MP6(2x400g)MX,Inventario sin venta,16,1770.7345
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Lacteos PPP,Carnation Polvo,2779,07501058626684,CARNATION Deslactosada 12x460g MX,Inventario sin venta,24,238.38744
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Cereales,53611,07506475110594,GERBER 1AET Arroz 6x200g MX,Inventario sin venta,7,22.751621
